sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
25N04565	1	Lane5	2332T2LT4	ILLUMINA	5	25N04565	25N04565_Lane5	fastqs/LOSH_010/L_25N04565_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04565_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	10183133.289	9931254.686
25N04566	1	Lane4	2332T2LT4	ILLUMINA	4	25N04566	25N04566_Lane4	fastqs/LOSH_011/L_25N04566_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04566_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	5061403.364	4931559.247
25N04567	1	Lane5	2332T2LT4	ILLUMINA	5	25N04567	25N04567_Lane5	fastqs/LOSH_010/L_25N04567_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04567_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	3328632.072	3232534.275
25N04568	1	Lane5	2332T2LT4	ILLUMINA	5	25N04568	25N04568_Lane5	fastqs/LOSH_010/L_25N04568_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04568_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	5856833.312	5739210.507
25N04569	1	Lane4	2332T2LT4	ILLUMINA	4	25N04569	25N04569_Lane4	fastqs/LOSH_011/L_25N04569_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04569_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	4042527.017	3952823.895
25N04570	1	Lane5	2332T2LT4	ILLUMINA	5	25N04570	25N04570_Lane5	fastqs/LOSH_010/L_25N04570_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04570_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	6183017.566	6000677.674
25N04571	1	Lane4	2332T2LT4	ILLUMINA	4	25N04571	25N04571_Lane4	fastqs/LOSH_011/L_25N04571_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04571_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	5013559.027	4904894.914
25N04572	1	Lane4	2332T2LT4	ILLUMINA	4	25N04572	25N04572_Lane4	fastqs/LOSH_011/L_25N04572_CKDL250033623-1A_2332T2LT4_L4_1.fq.gz	fastqs/LOSH_011/L_25N04572_CKDL250033623-1A_2332T2LT4_L4_2.fq.gz	5351991.676	5220498.277
25N04573	1	Lane5	2332T2LT4	ILLUMINA	5	25N04573	25N04573_Lane5	fastqs/LOSH_010/L_25N04573_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04573_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	4370399.699	4254801.737
25N04574	1	Lane5	2332T2LT4	ILLUMINA	5	25N04574	25N04574_Lane5	fastqs/LOSH_010/L_25N04574_CKDL250033622-1A_2332T2LT4_L5_1.fq.gz	fastqs/LOSH_010/L_25N04574_CKDL250033622-1A_2332T2LT4_L5_2.fq.gz	5651858.447	5529863.051
